stego_filename,subset,expected_type,payload_type,payload_size_class,lsb,mode,predicted_type,correct
XL-Synthetic_13_P__pdf_small__lsb1.png,extended_xl,PDF,PDF,small,1,no_deinterleaving,PDF,1
XL-Synthetic_13_P__pdf_small__lsb1.png,extended_xl,PDF,PDF,small,1,no_buffer,PDF,1
XL-Synthetic_13_P__pdf_small__lsb1.png,extended_xl,PDF,PDF,small,1,no_markers,PDF,1
XL-Synthetic_13_P__pdf_small__lsb2.png,extended_xl,PDF,PDF,small,2,full,PDF,1
XL-Synthetic_13_P__pdf_small__lsb2.png,extended_xl,PDF,PDF,small,2,no_deinterleaving,UNKNOWN,0
XL-Synthetic_13_P__pdf_small__lsb2.png,extended_xl,PDF,PDF,small,2,no_buffer,PDF,1
XL-Synthetic_13_P__pdf_small__lsb2.png,extended_xl,PDF,PDF,small,2,no_markers,PDF,1
XL-Synthetic_13_P__pdf_small__lsb3.png,extended_xl,PDF,PDF,small,3,full,PDF,1
XL-Synthetic_13_P__pdf_small__lsb3.png,extended_xl,PDF,PDF,small,3,no_deinterleaving,UNKNOWN,0
XL-Synthetic_13_P__pdf_small__lsb3.png,extended_xl,PDF,PDF,small,3,no_buffer,PDF,1
XL-Synthetic_13_P__pdf_small__lsb3.png,extended_xl,PDF,PDF,small,3,no_markers,PDF,1
XL-Synthetic_13_P__pptx_large__lsb3.png,extended_xl,PPTX,PPTX,large,3,full,PPTX,1
XL-Synthetic_13_P__pptx_large__lsb3.png,extended_xl,PPTX,PPTX,large,3,no_deinterleaving,UNKNOWN,0
XL-Synthetic_13_P__pptx_large__lsb3.png,extended_xl,PPTX,PPTX,large,3,no_buffer,ZIP,0
XL-Synthetic_13_P__pptx_large__lsb3.png,extended_xl,PPTX,PPTX,large,3,no_markers,ZIP,0
XL-Synthetic_13_P__pptx_medium__lsb2.png,extended_xl,PPTX,PPTX,medium,2,full,PPTX,1
XL-Synthetic_13_P__pptx_medium__lsb2.png,extended_xl,PPTX,PPTX,medium,2,no_deinterleaving,UNKNOWN,0
XL-Synthetic_13_P__pptx_medium__lsb2.png,extended_xl,PPTX,PPTX,medium,2,no_buffer,ZIP,0
XL-Synthetic_13_P__pptx_medium__lsb2.png,extended_xl,PPTX,PPTX,medium,2,no_markers,ZIP,0
XL-Synthetic_13_P__pptx_medium__lsb3.png,extended_xl,PPTX,PPTX,medium,3,full,PPTX,1
XL-Synthetic_13_P__pptx_medium__lsb3.png,extended_xl,PPTX,PPTX,medium,3,no_deinterleaving,UNKNOWN,0
XL-Synthetic_13_P__pptx_medium__lsb3.png,extended_xl,PPTX,PPTX,medium,3,no_buffer,ZIP,0
