clean_id,evaluation_group,subset,category,filename,image_path,tested_lsb,baseline_detected_type,baseline_status,baseline_false_positive,structural_detected_type,structural_validation_status,structural_false_positive,tag_size,payload_length,tag_endian,header_hex,runtime_seconds,processing_error,error
original_xl::XL-Synthetic_12_B.bmp,original,xl,controlled_original,XL-Synthetic_12_B.bmp,/home/kali/stego_dataset_expanded/covers_extended_xl/XL-Synthetic_12_B.bmp,2,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,4,576732754,little,,17.670021,0,
original_xl::XL-Synthetic_12_B.bmp,original,xl,controlled_original,XL-Synthetic_12_B.bmp,/home/kali/stego_dataset_expanded/covers_extended_xl/XL-Synthetic_12_B.bmp,3,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,4,2832883748,little,,21.404901,0,
original_xl::XL-Synthetic_12_P.png,original,xl,controlled_original,XL-Synthetic_12_P.png,/home/kali/stego_dataset_expanded/covers_extended_xl/XL-Synthetic_12_P.png,1,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,1226340,little,,0.751823,0,
original_xl::XL-Synthetic_12_P.png,original,xl,controlled_original,XL-Synthetic_12_P.png,/home/kali/stego_dataset_expanded/covers_extended_xl/XL-Synthetic_12_P.png,2,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,4526238,little,,0.704462,0,
original_xl::XL-Synthetic_12_P.png,original,xl,controlled_original,XL-Synthetic_12_P.png,/home/kali/stego_dataset_expanded/covers_extended_xl/XL-Synthetic_12_P.png,3,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,6334549,little,,0.860557,0,
original_xl::XL-Synthetic_13_B.bmp,original,xl,controlled_original,XL-Synthetic_13_B.bmp,/home/kali/stego_dataset_expanded/covers_extended_xl/XL-Synthetic_13_B.bmp,1,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,4,2994908072,little,,25.650532,0,
original_xl::XL-Synthetic_13_B.bmp,original,xl,controlled_original,XL-Synthetic_13_B.bmp,/home/kali/stego_dataset_expanded/covers_extended_xl/XL-Synthetic_13_B.bmp,2,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,4,3849118278,little,,23.503195,0,
original_xl::XL-Synthetic_13_B.bmp,original,xl,controlled_original,XL-Synthetic_13_B.bmp,/home/kali/stego_dataset_expanded/covers_extended_xl/XL-Synthetic_13_B.bmp,3,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,4,2879825568,little,,17.739665,0,
original_xl::XL-Synthetic_13_P.png,original,xl,controlled_original,XL-Synthetic_13_P.png,/home/kali/stego_dataset_expanded/covers_extended_xl/XL-Synthetic_13_P.png,1,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,10478495,little,,0.674541,0,
original_xl::XL-Synthetic_13_P.png,original,xl,controlled_original,XL-Synthetic_13_P.png,/home/kali/stego_dataset_expanded/covers_extended_xl/XL-Synthetic_13_P.png,2,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,6192457,little,,0.703673,0,
original_xl::XL-Synthetic_13_P.png,original,xl,controlled_original,XL-Synthetic_13_P.png,/home/kali/stego_dataset_expanded/covers_extended_xl/XL-Synthetic_13_P.png,3,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,16587441,little,,0.631881,0,
original_xl::XL-Synthetic_14_B.bmp,original,xl,controlled_original,XL-Synthetic_14_B.bmp,/home/kali/stego_dataset_expanded/covers_extended_xl/XL-Synthetic_14_B.bmp,1,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,4,3375867325,little,,20.111229,0,
