subset,cover_filename,cover_category,cover_variant,cover_size_label,cover_format,cover_mode,cover_width,cover_height,cover_channels,payload_filename,payload_type,payload_size_class,payload_size_bytes,lsb,capacity_bytes,status,reason
core,Grayscale_1_S.png,Grayscale,1,S,png,L,512,512,1,P05.rtf,rtf,small,50275,1,32768,SKIP_TOOL_LIMITATION,StegoLSB grayscale PNG iterable pixel failure
core,Grayscale_1_S.png,Grayscale,1,S,png,L,512,512,1,P05.rtf,rtf,small,50275,2,65536,SKIP_TOOL_LIMITATION,StegoLSB grayscale PNG iterable pixel failure
core,Grayscale_1_S.png,Grayscale,1,S,png,L,512,512,1,P05.rtf,rtf,small,50275,3,98304,SKIP_TOOL_LIMITATION,StegoLSB grayscale PNG iterable pixel failure
core,Grayscale_1_S.png,Grayscale,1,S,png,L,512,512,1,P03.xlsx,xlsx,large,1090468,1,32768,SKIP_TOOL_LIMITATION,StegoLSB grayscale PNG iterable pixel failure
core,Grayscale_1_S.png,Grayscale,1,S,png,L,512,512,1,P03.xlsx,xlsx,large,1090468,2,65536,SKIP_TOOL_LIMITATION,StegoLSB grayscale PNG iterable pixel failure
core,Grayscale_1_S.png,Grayscale,1,S,png,L,512,512,1,P03.xlsx,xlsx,large,1090468,3,98304,SKIP_TOOL_LIMITATION,StegoLSB grayscale PNG iterable pixel failure
core,Grayscale_1_S.png,Grayscale,1,S,png,L,512,512,1,P03.xlsx,xlsx,medium,511280,1,32768,SKIP_TOOL_LIMITATION,StegoLSB grayscale PNG iterable pixel failure
core,Grayscale_1_S.png,Grayscale,1,S,png,L,512,512,1,P03.xlsx,xlsx,medium,511280,2,65536,SKIP_TOOL_LIMITATION,StegoLSB grayscale PNG iterable pixel failure
core,Grayscale_1_S.png,Grayscale,1,S,png,L,512,512,1,P03.xlsx,xlsx,medium,511280,3,98304,SKIP_TOOL_LIMITATION,StegoLSB grayscale PNG iterable pixel failure
core,Grayscale_1_S.png,Grayscale,1,S,png,L,512,512,1,P03.xlsx,xlsx,small,8899,1,32768,SKIP_TOOL_LIMITATION,StegoLSB grayscale PNG iterable pixel failure
