subset,stego_filename,stego_path,cover_filename,cover_category,cover_variant,cover_size_label,cover_format,payload_filename,payload_type,payload_size_class,lsb,expected_type,resolved_stego_path,baseline_detected_type,baseline_status,baseline_exact_correct,structural_detected_type,structural_validation_status,structural_correct,tag_size,payload_length,tag_endian,header_hex,runtime_seconds,error
core,Flat-Color_2_M__exe_small__lsb3.png,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__exe_small__lsb3.png,Flat-Color_2_M.png,Flat-Color,2,M,png,P06.exe,exe,small,3,EXE,/home/kali/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__exe_small__lsb3.png,EXE,signature_mz,1,EXE,validated_mz_pe_header,1,3,40448,little,4d 5a 90 00 03 00 00 00,0.617689,
core,Flat-Color_2_M__pdf_large__lsb3.png,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__pdf_large__lsb3.png,Flat-Color_2_M.png,Flat-Color,2,M,png,P02.pdf,pdf,large,3,PDF,/home/kali/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__pdf_large__lsb3.png,PDF,signature_pdf,1,PDF,validated_pdf_startxref_eof,1,3,1100144,little,25 50 44 46 2d 31 2e 33,0.764866,
core,Flat-Color_2_M__pdf_medium__lsb2.png,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__pdf_medium__lsb2.png,Flat-Color_2_M.png,Flat-Color,2,M,png,P02.pdf,pdf,medium,2,PDF,/home/kali/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__pdf_medium__lsb2.png,PDF,signature_pdf,1,PDF,validated_pdf_startxref_eof,1,3,510410,little,25 50 44 46 2d 31 2e 37,0.710388,
core,Flat-Color_2_M__pdf_medium__lsb3.png,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__pdf_medium__lsb3.png,Flat-Color_2_M.png,Flat-Color,2,M,png,P02.pdf,pdf,medium,3,PDF,/home/kali/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__pdf_medium__lsb3.png,PDF,signature_pdf,1,PDF,validated_pdf_startxref_eof,1,3,510410,little,25 50 44 46 2d 31 2e 37,0.715158,
core,Flat-Color_2_M__pdf_small__lsb1.png,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__pdf_small__lsb1.png,Flat-Color_2_M.png,Flat-Color,2,M,png,P02.pdf,pdf,small,1,PDF,/home/kali/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__pdf_small__lsb1.png,PDF,signature_pdf,1,PDF,validated_pdf_startxref_eof,1,3,16620,little,25 50 44 46 2d 31 2e 37,0.657596,
core,Flat-Color_2_M__pdf_small__lsb2.png,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__pdf_small__lsb2.png,Flat-Color_2_M.png,Flat-Color,2,M,png,P02.pdf,pdf,small,2,PDF,/home/kali/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__pdf_small__lsb2.png,PDF,signature_pdf,1,PDF,validated_pdf_startxref_eof,1,3,16620,little,25 50 44 46 2d 31 2e 37,0.666769,
core,Flat-Color_2_M__pdf_small__lsb3.png,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__pdf_small__lsb3.png,Flat-Color_2_M.png,Flat-Color,2,M,png,P02.pdf,pdf,small,3,PDF,/home/kali/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__pdf_small__lsb3.png,PDF,signature_pdf,1,PDF,validated_pdf_startxref_eof,1,3,16620,little,25 50 44 46 2d 31 2e 37,0.720204,
core,Flat-Color_2_M__pptx_large__lsb3.png,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__pptx_large__lsb3.png,Flat-Color_2_M.png,Flat-Color,2,M,png,P04.pptx,pptx,large,3,PPTX,/home/kali/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__pptx_large__lsb3.png,ZIP,signature_pk_zip,0,PPTX,validated_ooxml_pptx,1,3,1082610,little,50 4b 03 04 14 00 06 00,0.901282,
core,Flat-Color_2_M__pptx_medium__lsb2.png,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__pptx_medium__lsb2.png,Flat-Color_2_M.png,Flat-Color,2,M,png,P04.pptx,pptx,medium,2,PPTX,/home/kali/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__pptx_medium__lsb2.png,ZIP,signature_pk_zip,0,PPTX,validated_ooxml_pptx,1,3,512113,little,50 4b 03 04 14 00 06 00,0.838783,
core,Flat-Color_2_M__pptx_medium__lsb3.png,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__pptx_medium__lsb3.png,Flat-Color_2_M.png,Flat-Color,2,M,png,P04.pptx,pptx,medium,3,PPTX,/home/kali/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__pptx_medium__lsb3.png,ZIP,signature_pk_zip,0,PPTX,validated_ooxml_pptx,1,3,512113,little,50 4b 03 04 14 00 06 00,0.684584,
core,Flat-Color_2_M__pptx_small__lsb1.png,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__pptx_small__lsb1.png,Flat-Color_2_M.png,Flat-Color,2,M,png,P04.pptx,pptx,small,1,PPTX,/home/kali/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__pptx_small__lsb1.png,ZIP,signature_pk_zip,0,PPTX,validated_ooxml_pptx,1,3,32020,little,50 4b 03 04 14 00 06 00,0.632672,
core,Flat-Color_2_M__pptx_small__lsb2.png,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__pptx_small__lsb2.png,Flat-Color_2_M.png,Flat-Color,2,M,png,P04.pptx,pptx,small,2,PPTX,/home/kali/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__pptx_small__lsb2.png,ZIP,signature_pk_zip,0,PPTX,validated_ooxml_pptx,1,3,32020,little,50 4b 03 04 14 00 06 00,0.626119,
core,Flat-Color_2_M__pptx_small__lsb3.png,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__pptx_small__lsb3.png,Flat-Color_2_M.png,Flat-Color,2,M,png,P04.pptx,pptx,small,3,PPTX,/home/kali/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__pptx_small__lsb3.png,ZIP,signature_pk_zip,0,PPTX,validated_ooxml_pptx,1,3,32020,little,50 4b 03 04 14 00 06 00,0.624476,
core,Flat-Color_2_M__rtf_large__lsb3.png,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__rtf_large__lsb3.png,Flat-Color_2_M.png,Flat-Color,2,M,png,P05.rtf,rtf,large,3,RTF,/home/kali/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__rtf_large__lsb3.png,RTF,signature_rtf,1,RTF,validated_rtf_structure,1,3,1085026,little,7b 5c 72 74 66 31 5c 61,0.835755,
core,Flat-Color_2_M__rtf_medium__lsb2.png,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__rtf_medium__lsb2.png,Flat-Color_2_M.png,Flat-Color,2,M,png,P05.rtf,rtf,medium,2,RTF,/home/kali/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__rtf_medium__lsb2.png,RTF,signature_rtf,1,RTF,validated_rtf_structure,1,3,511504,little,7b 5c 72 74 66 31 5c 61,0.918332,
