stego_filename,subset,cover_filename,cover_category,cover_size_label,cover_format,payload_filename,payload_type,payload_size_class,lsb,expected_type,predicted_type,correct,status,runtime_seconds
Flat-Color_2_M__xlsx_medium__lsb3.png,core,Flat-Color_2_M.png,Flat-Color,M,png,P03.xlsx,XLSX,medium,3,XLSX,XLSX,1,ok,0.939694
Flat-Color_2_M__xlsx_small__lsb1.png,core,Flat-Color_2_M.png,Flat-Color,M,png,P03.xlsx,XLSX,small,1,XLSX,XLSX,1,ok,1.010046
Flat-Color_2_M__xlsx_small__lsb2.png,core,Flat-Color_2_M.png,Flat-Color,M,png,P03.xlsx,XLSX,small,2,XLSX,XLSX,1,ok,0.904914
Flat-Color_2_M__xlsx_small__lsb3.png,core,Flat-Color_2_M.png,Flat-Color,M,png,P03.xlsx,XLSX,small,3,XLSX,XLSX,1,ok,0.855647
Grayscale_2_M__docx_large__lsb3.bmp,core,Grayscale_2_M.bmp,Grayscale,M,bmp,P01.docx,DOCX,large,3,DOCX,DOCX,1,ok,0.797274
Grayscale_2_M__docx_medium__lsb2.bmp,core,Grayscale_2_M.bmp,Grayscale,M,bmp,P01.docx,DOCX,medium,2,DOCX,DOCX,1,ok,1.064292
Grayscale_2_M__docx_medium__lsb3.bmp,core,Grayscale_2_M.bmp,Grayscale,M,bmp,P01.docx,DOCX,medium,3,DOCX,DOCX,1,ok,1.156301
Grayscale_2_M__docx_small__lsb1.bmp,core,Grayscale_2_M.bmp,Grayscale,M,bmp,P01.docx,DOCX,small,1,DOCX,DOCX,1,ok,0.911461
Grayscale_2_M__docx_small__lsb2.bmp,core,Grayscale_2_M.bmp,Grayscale,M,bmp,P01.docx,DOCX,small,2,DOCX,DOCX,1,ok,0.764124
Grayscale_2_M__docx_small__lsb3.bmp,core,Grayscale_2_M.bmp,Grayscale,M,bmp,P01.docx,DOCX,small,3,DOCX,DOCX,1,ok,0.837774
Grayscale_2_M__exe_large__lsb3.bmp,core,Grayscale_2_M.bmp,Grayscale,M,bmp,P06.exe,EXE,large,3,EXE,EXE,1,ok,1.376925
Grayscale_2_M__exe_medium__lsb2.bmp,core,Grayscale_2_M.bmp,Grayscale,M,bmp,P06.exe,EXE,medium,2,EXE,EXE,1,ok,1.369500
Grayscale_2_M__exe_medium__lsb3.bmp,core,Grayscale_2_M.bmp,Grayscale,M,bmp,P06.exe,EXE,medium,3,EXE,EXE,1,ok,1.160825
Grayscale_2_M__exe_small__lsb1.bmp,core,Grayscale_2_M.bmp,Grayscale,M,bmp,P06.exe,EXE,small,1,EXE,EXE,1,ok,1.057111
Grayscale_2_M__exe_small__lsb2.bmp,core,Grayscale_2_M.bmp,Grayscale,M,bmp,P06.exe,EXE,small,2,EXE,EXE,1,ok,0.712911
Grayscale_2_M__exe_small__lsb3.bmp,core,Grayscale_2_M.bmp,Grayscale,M,bmp,P06.exe,EXE,small,3,EXE,EXE,1,ok,0.748186
Grayscale_2_M__pdf_large__lsb3.bmp,core,Grayscale_2_M.bmp,Grayscale,M,bmp,P02.pdf,PDF,large,3,PDF,PDF,1,ok,0.858682
Grayscale_2_M__pdf_medium__lsb2.bmp,core,Grayscale_2_M.bmp,Grayscale,M,bmp,P02.pdf,PDF,medium,2,PDF,PDF,1,ok,0.768762
Grayscale_2_M__pdf_medium__lsb3.bmp,core,Grayscale_2_M.bmp,Grayscale,M,bmp,P02.pdf,PDF,medium,3,PDF,PDF,1,ok,0.808154
Grayscale_2_M__pdf_small__lsb1.bmp,core,Grayscale_2_M.bmp,Grayscale,M,bmp,P02.pdf,PDF,small,1,PDF,PDF,1,ok,0.781514
Grayscale_2_M__pdf_small__lsb2.bmp,core,Grayscale_2_M.bmp,Grayscale,M,bmp,P02.pdf,PDF,small,2,PDF,PDF,1,ok,0.773213
Grayscale_2_M__pdf_small__lsb3.bmp,core,Grayscale_2_M.bmp,Grayscale,M,bmp,P02.pdf,PDF,small,3,PDF,PDF,1,ok,1.053278
Grayscale_2_M__pptx_large__lsb3.bmp,core,Grayscale_2_M.bmp,Grayscale,M,bmp,P04.pptx,PPTX,large,3,PPTX,PPTX,1,ok,0.816775
Grayscale_2_M__pptx_medium__lsb2.bmp,core,Grayscale_2_M.bmp,Grayscale,M,bmp,P04.pptx,PPTX,medium,2,PPTX,PPTX,1,ok,0.885482
Grayscale_2_M__pptx_medium__lsb3.bmp,core,Grayscale_2_M.bmp,Grayscale,M,bmp,P04.pptx,PPTX,medium,3,PPTX,PPTX,1,ok,0.811040
Grayscale_2_M__pptx_small__lsb1.bmp,core,Grayscale_2_M.bmp,Grayscale,M,bmp,P04.pptx,PPTX,small,1,PPTX,PPTX,1,ok,0.860082
Grayscale_2_M__pptx_small__lsb2.bmp,core,Grayscale_2_M.bmp,Grayscale,M,bmp,P04.pptx,PPTX,small,2,PPTX,PPTX,1,ok,0.819883
Grayscale_2_M__pptx_small__lsb3.bmp,core,Grayscale_2_M.bmp,Grayscale,M,bmp,P04.pptx,PPTX,small,3,PPTX,PPTX,1,ok,0.710944
Grayscale_2_M__rtf_large__lsb3.bmp,core,Grayscale_2_M.bmp,Grayscale,M,bmp,P05.rtf,RTF,large,3,RTF,RTF,1,ok,0.784610
Grayscale_2_M__rtf_medium__lsb2.bmp,core,Grayscale_2_M.bmp,Grayscale,M,bmp,P05.rtf,RTF,medium,2,RTF,RTF,1,ok,0.813957
Grayscale_2_M__rtf_medium__lsb3.bmp,core,Grayscale_2_M.bmp,Grayscale,M,bmp,P05.rtf,RTF,medium,3,RTF,RTF,1,ok,0.844446
Grayscale_2_M__rtf_small__lsb1.bmp,core,Grayscale_2_M.bmp,Grayscale,M,bmp,P05.rtf,RTF,small,1,RTF,RTF,1,ok,0.852502
Grayscale_2_M__rtf_small__lsb2.bmp,core,Grayscale_2_M.bmp,Grayscale,M,bmp,P05.rtf,RTF,small,2,RTF,RTF,1,ok,0.870140
Grayscale_2_M__rtf_small__lsb3.bmp,core,Grayscale_2_M.bmp,Grayscale,M,bmp,P05.rtf,RTF,small,3,RTF,RTF,1,ok,0.868975
Grayscale_2_M__xlsx_large__lsb3.bmp,core,Grayscale_2_M.bmp,Grayscale,M,bmp,P03.xlsx,XLSX,large,3,XLSX,XLSX,1,ok,0.844650
Grayscale_2_M__xlsx_medium__lsb2.bmp,core,Grayscale_2_M.bmp,Grayscale,M,bmp,P03.xlsx,XLSX,medium,2,XLSX,XLSX,1,ok,1.024305
Grayscale_2_M__xlsx_medium__lsb3.bmp,core,Grayscale_2_M.bmp,Grayscale,M,bmp,P03.xlsx,XLSX,medium,3,XLSX,XLSX,1,ok,0.818986
Grayscale_2_M__xlsx_small__lsb1.bmp,core,Grayscale_2_M.bmp,Grayscale,M,bmp,P03.xlsx,XLSX,small,1,XLSX,XLSX,1,ok,0.883228
Grayscale_2_M__xlsx_small__lsb2.bmp,core,Grayscale_2_M.bmp,Grayscale,M,bmp,P03.xlsx,XLSX,small,2,XLSX,XLSX,1,ok,0.836638
Grayscale_2_M__xlsx_small__lsb3.bmp,core,Grayscale_2_M.bmp,Grayscale,M,bmp,P03.xlsx,XLSX,small,3,XLSX,XLSX,1,ok,0.752898
High-Detail_1_M__docx_large__lsb3.png,core,High-Detail_1_M.png,High-Detail,M,png,P01.docx,DOCX,large,3,DOCX,DOCX,1,ok,0.860277
High-Detail_1_M__docx_medium__lsb2.png,core,High-Detail_1_M.png,High-Detail,M,png,P01.docx,DOCX,medium,2,DOCX,DOCX,1,ok,0.963426
High-Detail_1_M__docx_medium__lsb3.png,core,High-Detail_1_M.png,High-Detail,M,png,P01.docx,DOCX,medium,3,DOCX,DOCX,1,ok,0.936284
High-Detail_1_M__docx_small__lsb1.png,core,High-Detail_1_M.png,High-Detail,M,png,P01.docx,DOCX,small,1,DOCX,DOCX,1,ok,0.898339
High-Detail_1_M__docx_small__lsb2.png,core,High-Detail_1_M.png,High-Detail,M,png,P01.docx,DOCX,small,2,DOCX,DOCX,1,ok,1.141157
High-Detail_1_M__docx_small__lsb3.png,core,High-Detail_1_M.png,High-Detail,M,png,P01.docx,DOCX,small,3,DOCX,DOCX,1,ok,0.996808
High-Detail_1_M__exe_large__lsb3.png,core,High-Detail_1_M.png,High-Detail,M,png,P06.exe,EXE,large,3,EXE,EXE,1,ok,0.849737
High-Detail_1_M__exe_medium__lsb2.png,core,High-Detail_1_M.png,High-Detail,M,png,P06.exe,EXE,medium,2,EXE,EXE,1,ok,0.945651
High-Detail_1_M__exe_medium__lsb3.png,core,High-Detail_1_M.png,High-Detail,M,png,P06.exe,EXE,medium,3,EXE,EXE,1,ok,0.805456
High-Detail_1_M__exe_small__lsb1.png,core,High-Detail_1_M.png,High-Detail,M,png,P06.exe,EXE,small,1,EXE,EXE,1,ok,0.947308
High-Detail_1_M__exe_small__lsb2.png,core,High-Detail_1_M.png,High-Detail,M,png,P06.exe,EXE,small,2,EXE,EXE,1,ok,0.848470
High-Detail_1_M__exe_small__lsb3.png,core,High-Detail_1_M.png,High-Detail,M,png,P06.exe,EXE,small,3,EXE,EXE,1,ok,0.795783
High-Detail_1_M__pdf_large__lsb3.png,core,High-Detail_1_M.png,High-Detail,M,png,P02.pdf,PDF,large,3,PDF,PDF,1,ok,0.790097
High-Detail_1_M__pdf_medium__lsb2.png,core,High-Detail_1_M.png,High-Detail,M,png,P02.pdf,PDF,medium,2,PDF,PDF,1,ok,0.912939
High-Detail_1_M__pdf_medium__lsb3.png,core,High-Detail_1_M.png,High-Detail,M,png,P02.pdf,PDF,medium,3,PDF,PDF,1,ok,0.874932
High-Detail_1_M__pdf_small__lsb1.png,core,High-Detail_1_M.png,High-Detail,M,png,P02.pdf,PDF,small,1,PDF,PDF,1,ok,0.921840
High-Detail_1_M__pdf_small__lsb2.png,core,High-Detail_1_M.png,High-Detail,M,png,P02.pdf,PDF,small,2,PDF,PDF,1,ok,0.913134
High-Detail_1_M__pdf_small__lsb3.png,core,High-Detail_1_M.png,High-Detail,M,png,P02.pdf,PDF,small,3,PDF,PDF,1,ok,0.871977
High-Detail_1_M__pptx_large__lsb3.png,core,High-Detail_1_M.png,High-Detail,M,png,P04.pptx,PPTX,large,3,PPTX,PPTX,1,ok,0.981285
High-Detail_1_M__pptx_medium__lsb2.png,core,High-Detail_1_M.png,High-Detail,M,png,P04.pptx,PPTX,medium,2,PPTX,PPTX,1,ok,0.908828
High-Detail_1_M__pptx_medium__lsb3.png,core,High-Detail_1_M.png,High-Detail,M,png,P04.pptx,PPTX,medium,3,PPTX,PPTX,1,ok,0.813518
High-Detail_1_M__pptx_small__lsb1.png,core,High-Detail_1_M.png,High-Detail,M,png,P04.pptx,PPTX,small,1,PPTX,PPTX,1,ok,0.778389
High-Detail_1_M__pptx_small__lsb2.png,core,High-Detail_1_M.png,High-Detail,M,png,P04.pptx,PPTX,small,2,PPTX,PPTX,1,ok,0.701985
High-Detail_1_M__pptx_small__lsb3.png,core,High-Detail_1_M.png,High-Detail,M,png,P04.pptx,PPTX,small,3,PPTX,PPTX,1,ok,0.721002
High-Detail_1_M__rtf_large__lsb3.png,core,High-Detail_1_M.png,High-Detail,M,png,P05.rtf,RTF,large,3,RTF,RTF,1,ok,0.842368
High-Detail_1_M__rtf_medium__lsb2.png,core,High-Detail_1_M.png,High-Detail,M,png,P05.rtf,RTF,medium,2,RTF,RTF,1,ok,0.831444
High-Detail_1_M__rtf_medium__lsb3.png,core,High-Detail_1_M.png,High-Detail,M,png,P05.rtf,RTF,medium,3,RTF,RTF,1,ok,0.840470
High-Detail_1_M__rtf_small__lsb1.png,core,High-Detail_1_M.png,High-Detail,M,png,P05.rtf,RTF,small,1,RTF,RTF,1,ok,0.830104
High-Detail_1_M__rtf_small__lsb2.png,core,High-Detail_1_M.png,High-Detail,M,png,P05.rtf,RTF,small,2,RTF,RTF,1,ok,0.795873
High-Detail_1_M__rtf_small__lsb3.png,core,High-Detail_1_M.png,High-Detail,M,png,P05.rtf,RTF,small,3,RTF,RTF,1,ok,0.912916
High-Detail_1_M__xlsx_large__lsb3.png,core,High-Detail_1_M.png,High-Detail,M,png,P03.xlsx,XLSX,large,3,XLSX,XLSX,1,ok,0.796053
High-Detail_1_M__xlsx_medium__lsb2.png,core,High-Detail_1_M.png,High-Detail,M,png,P03.xlsx,XLSX,medium,2,XLSX,XLSX,1,ok,0.703487
High-Detail_1_M__xlsx_medium__lsb3.png,core,High-Detail_1_M.png,High-Detail,M,png,P03.xlsx,XLSX,medium,3,XLSX,XLSX,1,ok,0.844553
High-Detail_1_M__xlsx_small__lsb1.png,core,High-Detail_1_M.png,High-Detail,M,png,P03.xlsx,XLSX,small,1,XLSX,XLSX,1,ok,0.929780
High-Detail_1_M__xlsx_small__lsb2.png,core,High-Detail_1_M.png,High-Detail,M,png,P03.xlsx,XLSX,small,2,XLSX,XLSX,1,ok,0.835830
High-Detail_1_M__xlsx_small__lsb3.png,core,High-Detail_1_M.png,High-Detail,M,png,P03.xlsx,XLSX,small,3,XLSX,XLSX,1,ok,0.806966
High-Detail_2_L__docx_large__lsb2.png,core,High-Detail_2_L.png,High-Detail,L,png,P01.docx,DOCX,large,2,DOCX,DOCX,1,ok,1.575060
High-Detail_2_L__docx_large__lsb3.png,core,High-Detail_2_L.png,High-Detail,L,png,P01.docx,DOCX,large,3,DOCX,DOCX,1,ok,1.652420
High-Detail_2_L__docx_medium__lsb1.png,core,High-Detail_2_L.png,High-Detail,L,png,P01.docx,DOCX,medium,1,DOCX,DOCX,1,ok,2.051999
High-Detail_2_L__docx_medium__lsb2.png,core,High-Detail_2_L.png,High-Detail,L,png,P01.docx,DOCX,medium,2,DOCX,DOCX,1,ok,2.070964
High-Detail_2_L__docx_medium__lsb3.png,core,High-Detail_2_L.png,High-Detail,L,png,P01.docx,DOCX,medium,3,DOCX,DOCX,1,ok,2.122661
High-Detail_2_L__docx_small__lsb1.png,core,High-Detail_2_L.png,High-Detail,L,png,P01.docx,DOCX,small,1,DOCX,DOCX,1,ok,2.345686
High-Detail_2_L__docx_small__lsb2.png,core,High-Detail_2_L.png,High-Detail,L,png,P01.docx,DOCX,small,2,DOCX,DOCX,1,ok,2.350907
High-Detail_2_L__docx_small__lsb3.png,core,High-Detail_2_L.png,High-Detail,L,png,P01.docx,DOCX,small,3,DOCX,DOCX,1,ok,3.839571
High-Detail_2_L__exe_large__lsb2.png,core,High-Detail_2_L.png,High-Detail,L,png,P06.exe,EXE,large,2,EXE,EXE,1,ok,3.373038
High-Detail_2_L__exe_large__lsb3.png,core,High-Detail_2_L.png,High-Detail,L,png,P06.exe,EXE,large,3,EXE,EXE,1,ok,2.704817
High-Detail_2_L__exe_medium__lsb1.png,core,High-Detail_2_L.png,High-Detail,L,png,P06.exe,EXE,medium,1,EXE,EXE,1,ok,2.193470
High-Detail_2_L__exe_medium__lsb2.png,core,High-Detail_2_L.png,High-Detail,L,png,P06.exe,EXE,medium,2,EXE,EXE,1,ok,2.619729
